block_id,msg_type,sender,receiver,time_ms
0,IDONTWANT,985,218,137.64406844780177
0,IDONTWANT,985,501,137.64406844780177
0,IDONTWANT,985,687,137.64406844780177
0,IDONTWANT,985,521,137.64406844780177
0,IDONTWANT,698,985,158.33436037539354
0,IDONTWANT,698,690,158.33436037539354
0,IDONTWANT,698,308,158.33436037539354
0,IDONTWANT,698,524,158.33436037539354
0,IDONTWANT,501,349,169.2966035220757
0,IDONTWANT,501,293,169.2966035220757
0,IDONTWANT,501,304,169.2966035220757
0,IDONTWANT,501,276,169.2966035220757
0,IDONTWANT,278,776,180.16778322767564
0,IDONTWANT,278,226,180.16778322767564
0,IDONTWANT,278,497,180.16778322767564
0,IDONTWANT,278,324,180.16778322767564
0,IDONTWANT,307,965,181.59522480692328
0,IDONTWANT,307,477,181.59522480692328
0,IDONTWANT,307,809,181.59522480692328
0,IDONTWANT,307,956,181.59522480692328
0,IDONTWANT,831,405,182.62648511676815
0,IDONTWANT,831,728,182.62648511676815
0,IDONTWANT,831,168,182.62648511676815
0,IDONTWANT,831,207,182.62648511676815
0,IDONTWANT,115,410,197.43911559877645
0,IDONTWANT,115,51,197.43911559877645
0,IDONTWANT,115,775,197.43911559877645
0,IDONTWANT,115,278,197.43911559877645
0,IDONTWANT,687,520,208.40066976651195
0,IDONTWANT,687,890,208.40066976651195
0,IDONTWANT,687,491,208.40066976651195
0,IDONTWANT,687,928,208.40066976651195
0,IDONTWANT,964,887,220.55236203462746
0,IDONTWANT,964,762,220.55236203462746
0,IDONTWANT,964,168,220.55236203462746
0,IDONTWANT,964,90,220.55236203462746
0,IDONTWANT,520,506,224.66550114688607
0,IDONTWANT,520,149,224.66550114688607
0,IDONTWANT,520,331,224.66550114688607
0,IDONTWANT,520,225,224.66550114688607
0,IDONTWANT,50,997,231.60904453936323
0,IDONTWANT,50,964,231.60904453936323
0,IDONTWANT,50,831,231.60904453936323
0,IDONTWANT,50,520,231.60904453936323
0,IDONTWANT,928,587,232.7798711486712
0,IDONTWANT,928,1,232.7798711486712
0,IDONTWANT,928,151,232.7798711486712
0,IDONTWANT,928,200,232.7798711486712
0,IDONTWANT,51,278,233.0973166590326
0,IDONTWANT,51,442,233.0973166590326
0,IDONTWANT,51,650,233.0973166590326
0,IDONTWANT,51,738,233.0973166590326
0,IDONTWANT,798,50,244.4362361200424
0,IDONTWANT,798,732,244.4362361200424
0,IDONTWANT,798,450,244.4362361200424
0,IDONTWANT,798,38,244.4362361200424
0,IDONTWANT,214,99,244.71513187309438
0,IDONTWANT,214,541,244.71513187309438
0,IDONTWANT,214,964,244.71513187309438
0,IDONTWANT,214,718,244.71513187309438
0,IDONTWANT,226,943,245.11428020888744
0,IDONTWANT,226,672,245.11428020888744
0,IDONTWANT,226,466,245.11428020888744
0,IDONTWANT,226,126,245.11428020888744
0,IDONTWANT,276,827,250.58464814946763
0,IDONTWANT,276,210,250.58464814946763
0,IDONTWANT,276,955,250.58464814946763
0,IDONTWANT,276,64,250.58464814946763
0,IDONTWANT,868,971,254.39709593194283
0,IDONTWANT,868,271,254.39709593194283
0,IDONTWANT,868,965,254.39709593194283
0,IDONTWANT,868,377,254.39709593194283
0,IDONTWANT,349,600,257.0756660581573
0,IDONTWANT,349,11,257.0756660581573
0,IDONTWANT,349,114,257.0756660581573
0,IDONTWANT,349,235,257.0756660581573
0,IDONTWANT,442,528,259.43633231343506
0,IDONTWANT,442,499,259.43633231343506
0,IDONTWANT,442,918,259.43633231343506
0,IDONTWANT,442,771,259.43633231343506
0,IDONTWANT,168,423,263.0322611250647
0,IDONTWANT,168,864,263.0322611250647
0,IDONTWANT,168,766,263.0322611250647
0,IDONTWANT,168,991,263.0322611250647
0,IDONTWANT,503,226,264.1578369678091
0,IDONTWANT,503,750,264.1578369678091
0,IDONTWANT,503,349,264.1578369678091
0,IDONTWANT,503,747,264.1578369678091
0,IDONTWANT,312,993,267.7518139051596
0,IDONTWANT,312,91,267.7518139051596
0,IDONTWANT,312,607,267.7518139051596
0,IDONTWANT,312,633,267.7518139051596
0,IDONTWANT,775,378,269.0174258105852
0,IDONTWANT,775,868,269.0174258105852
0,IDONTWANT,775,875,269.0174258105852
0,IDONTWANT,775,490,269.0174258105852
0,IDONTWANT,528,218,273.0994939626584
0,IDONTWANT,528,451,273.0994939626584
0,IDONTWANT,528,347,273.0994939626584
0,IDONTWANT,528,699,273.0994939626584
0,IDONTWANT,218,826,278.5129962763617
0,IDONTWANT,218,837,278.5129962763617
0,IDONTWANT,218,272,278.5129962763617
0,IDONTWANT,218,109,278.5129962763617
0,IDONTWANT,485,869,282.2333348487392
0,IDONTWANT,485,766,282.2333348487392
0,IDONTWANT,485,183,282.2333348487392
0,IDONTWANT,485,307,282.2333348487392
0,IDONTWANT,255,928,282.50131138698555
0,IDONTWANT,255,598,282.50131138698555
0,IDONTWANT,255,318,282.50131138698555
0,IDONTWANT,255,649,282.50131138698555
0,IDONTWANT,766,589,282.8943265126619
0,IDONTWANT,766,125,282.8943265126619
0,IDONTWANT,766,25,282.8943265126619
0,IDONTWANT,766,177,282.8943265126619
0,IDONTWANT,99,35,283.4417550413705
0,IDONTWANT,99,926,283.4417550413705
0,IDONTWANT,99,823,283.4417550413705
0,IDONTWANT,99,711,283.4417550413705
0,IDONTWANT,165,407,285.5112385228377
0,IDONTWANT,165,962,285.5112385228377
0,IDONTWANT,165,359,285.5112385228377
0,IDONTWANT,165,570,285.5112385228377
0,IDONTWANT,346,462,285.93256529614877
0,IDONTWANT,346,82,285.93256529614877
0,IDONTWANT,346,842,285.93256529614877
0,IDONTWANT,346,665,285.93256529614877
0,IDONTWANT,649,685,286.72139265357924
0,IDONTWANT,649,835,286.72139265357924
0,IDONTWANT,649,618,286.72139265357924
0,IDONTWANT,649,749,286.72139265357924
0,IDONTWANT,837,296,286.9439344064492
0,IDONTWANT,837,376,286.9439344064492
0,IDONTWANT,837,675,286.9439344064492
0,IDONTWANT,837,196,286.9439344064492
0,IDONTWANT,641,747,287.0945053970556
0,IDONTWANT,641,977,287.0945053970556
0,IDONTWANT,641,212,287.0945053970556
0,IDONTWANT,641,869,287.0945053970556
0,IDONTWANT,405,549,287.97838526921726
0,IDONTWANT,405,21,287.97838526921726
0,IDONTWANT,405,169,287.97838526921726
0,IDONTWANT,405,973,287.97838526921726
0,IDONTWANT,401,909,288.60212368447327
0,IDONTWANT,401,367,288.60212368447327
0,IDONTWANT,401,827,288.60212368447327
0,IDONTWANT,401,851,288.60212368447327
0,IDONTWANT,578,214,290.5119347595017
0,IDONTWANT,578,220,290.5119347595017
0,IDONTWANT,578,831,290.5119347595017
0,IDONTWANT,578,687,290.5119347595017
0,IDONTWANT,308,985,291.1954294084077
0,IDONTWANT,308,307,291.1954294084077
0,IDONTWANT,308,501,291.1954294084077
0,IDONTWANT,308,255,291.1954294084077
0,IDONTWANT,497,519,292.1990096020331
0,IDONTWANT,497,578,292.1990096020331
0,IDONTWANT,497,382,292.1990096020331
0,IDONTWANT,497,653,292.1990096020331
0,IDONTWANT,672,582,294.95583199020126
0,IDONTWANT,672,522,294.95583199020126
0,IDONTWANT,672,271,294.95583199020126
0,IDONTWANT,672,655,294.95583199020126
0,IDONTWANT,747,310,298.95231264357994
0,IDONTWANT,747,793,298.95231264357994
0,IDONTWANT,747,221,298.95231264357994
0,IDONTWANT,747,854,298.95231264357994
0,IDONTWANT,610,554,299.2583247082869
0,IDONTWANT,610,403,299.2583247082869
0,IDONTWANT,610,476,299.2583247082869
0,IDONTWANT,610,200,299.2583247082869
0,IDONTWANT,464,401,299.5287862468746
0,IDONTWANT,464,55,299.5287862468746
0,IDONTWANT,464,184,299.5287862468746
0,IDONTWANT,464,778,299.5287862468746
0,IDONTWANT,869,188,300.61479076136357
0,IDONTWANT,869,439,300.61479076136357
0,IDONTWANT,869,930,300.61479076136357
0,IDONTWANT,869,686,300.61479076136357
0,IDONTWANT,554,551,300.7748734800112
0,IDONTWANT,554,405,300.7748734800112
0,IDONTWANT,554,291,300.7748734800112
0,IDONTWANT,554,352,300.7748734800112
0,IDONTWANT,927,417,301.213004410203
0,IDONTWANT,927,50,301.213004410203
0,IDONTWANT,927,77,301.213004410203
0,IDONTWANT,927,996,301.213004410203
0,IDONTWANT,201,886,301.400779387313
0,IDONTWANT,201,46,301.400779387313
0,IDONTWANT,201,321,301.400779387313
0,IDONTWANT,201,187,301.400779387313
0,IDONTWANT,728,573,302.49338497075087
0,IDONTWANT,728,733,302.49338497075087
0,IDONTWANT,728,165,302.49338497075087
0,IDONTWANT,728,937,302.49338497075087
0,IDONTWANT,30,217,303.6328008997219
0,IDONTWANT,30,649,303.6328008997219
0,IDONTWANT,30,852,303.6328008997219
0,IDONTWANT,30,588,303.6328008997219
0,IDONTWANT,965,78,303.9571786472343
0,IDONTWANT,965,950,303.9571786472343
0,IDONTWANT,965,484,303.9571786472343
0,IDONTWANT,965,30,303.9571786472343
0,IDONTWANT,583,57,306.2006850232245
0,IDONTWANT,583,80,306.2006850232245
0,IDONTWANT,583,806,306.2006850232245
0,IDONTWANT,583,549,306.2006850232245
0,IDONTWANT,659,344,306.87609643531835
0,IDONTWANT,659,530,306.87609643531835
0,IDONTWANT,659,744,306.87609643531835
0,IDONTWANT,659,335,306.87609643531835
0,IDONTWANT,291,802,308.72264949314183
0,IDONTWANT,291,379,308.72264949314183
0,IDONTWANT,291,146,308.72264949314183
0,IDONTWANT,291,876,308.72264949314183
0,IDONTWANT,321,622,309.1748625029056
0,IDONTWANT,321,647,309.1748625029056
0,IDONTWANT,321,970,309.1748625029056
0,IDONTWANT,321,404,309.1748625029056
0,IDONTWANT,762,109,310.88206511414444
0,IDONTWANT,762,431,310.88206511414444
0,IDONTWANT,762,920,310.88206511414444
0,IDONTWANT,762,792,310.88206511414444
0,IDONTWANT,607,855,311.1530672314996
0,IDONTWANT,607,394,311.1530672314996
0,IDONTWANT,607,731,311.1530672314996
0,IDONTWANT,607,112,311.1530672314996
0,IDONTWANT,462,182,311.38342987770733
0,IDONTWANT,462,707,311.38342987770733
0,IDONTWANT,462,479,311.38342987770733
0,IDONTWANT,462,691,311.38342987770733
0,IDONTWANT,210,401,312.38402358934053
0,IDONTWANT,210,128,312.38402358934053
0,IDONTWANT,210,558,312.38402358934053
0,IDONTWANT,210,327,312.38402358934053
0,IDONTWANT,580,701,312.80753486872936
0,IDONTWANT,580,770,312.80753486872936
0,IDONTWANT,580,543,312.80753486872936
0,IDONTWANT,580,403,312.80753486872936
0,IDONTWANT,109,62,315.7886329399806
0,IDONTWANT,109,361,315.7886329399806
0,IDONTWANT,109,227,315.7886329399806
0,IDONTWANT,109,203,315.7886329399806
0,IDONTWANT,410,283,316.5120228509546
0,IDONTWANT,410,443,316.5120228509546
0,IDONTWANT,410,927,316.5120228509546
0,IDONTWANT,410,346,316.5120228509546
0,IDONTWANT,525,751,318.52353420579504
0,IDONTWANT,525,944,318.52353420579504
0,IDONTWANT,525,321,318.52353420579504
0,IDONTWANT,525,548,318.52353420579504
0,IDONTWANT,281,164,319.3664558763115
0,IDONTWANT,281,401,319.3664558763115
0,IDONTWANT,281,510,319.3664558763115
0,IDONTWANT,281,485,319.3664558763115
0,IDONTWANT,27,168,320.6727773387105
0,IDONTWANT,27,716,320.6727773387105
0,IDONTWANT,27,882,320.6727773387105
0,IDONTWANT,27,335,320.6727773387105
0,IDONTWANT,601,420,321.28880918923727
0,IDONTWANT,601,857,321.28880918923727
0,IDONTWANT,601,946,321.28880918923727
0,IDONTWANT,601,767,321.28880918923727
0,IDONTWANT,1,379,322.08119101356397
0,IDONTWANT,1,938,322.08119101356397
0,IDONTWANT,1,619,322.08119101356397
0,IDONTWANT,1,486,322.08119101356397
0,IDONTWANT,91,638,322.32584868645336
0,IDONTWANT,91,523,322.32584868645336
0,IDONTWANT,91,445,322.32584868645336
0,IDONTWANT,91,573,322.32584868645336
0,IDONTWANT,541,899,322.35137928463445
0,IDONTWANT,541,85,322.35137928463445
0,IDONTWANT,541,65,322.35137928463445
0,IDONTWANT,541,452,322.35137928463445
0,IDONTWANT,262,472,322.7129334437352
0,IDONTWANT,262,203,322.7129334437352
0,IDONTWANT,262,198,322.7129334437352
0,IDONTWANT,262,801,322.7129334437352
0,IDONTWANT,827,503,322.8112970345592
0,IDONTWANT,827,795,322.8112970345592
0,IDONTWANT,827,852,322.8112970345592
0,IDONTWANT,827,759,322.8112970345592
0,IDONTWANT,284,312,323.3344589424446
0,IDONTWANT,284,23,323.3344589424446
0,IDONTWANT,284,476,323.3344589424446
0,IDONTWANT,284,469,323.3344589424446
0,IDONTWANT,493,538,323.39726363613755
0,IDONTWANT,493,714,323.39726363613755
0,IDONTWANT,493,785,323.39726363613755
0,IDONTWANT,493,281,323.39726363613755
0,IDONTWANT,973,367,323.59822216334476
0,IDONTWANT,973,323,323.59822216334476
0,IDONTWANT,973,36,323.59822216334476
0,IDONTWANT,973,69,323.59822216334476
0,IDONTWANT,937,574,324.0211207904865
0,IDONTWANT,937,738,324.0211207904865
0,IDONTWANT,937,310,324.0211207904865
0,IDONTWANT,937,689,324.0211207904865
0,IDONTWANT,114,500,325.0044619139567
0,IDONTWANT,114,644,325.0044619139567
0,IDONTWANT,114,585,325.0044619139567
0,IDONTWANT,114,884,325.0044619139567
0,IDONTWANT,588,496,325.3607980742936
0,IDONTWANT,588,354,325.3607980742936
0,IDONTWANT,588,415,325.3607980742936
0,IDONTWANT,588,634,325.3607980742936
0,IDONTWANT,331,493,325.4129629090181
0,IDONTWANT,331,354,325.4129629090181
0,IDONTWANT,331,275,325.4129629090181
0,IDONTWANT,331,841,325.4129629090181
0,IDONTWANT,182,875,325.8205927550589
0,IDONTWANT,182,599,325.8205927550589
0,IDONTWANT,182,274,325.8205927550589
0,IDONTWANT,182,911,325.8205927550589
0,IDONTWANT,379,729,325.8720871211819
0,IDONTWANT,379,549,325.8720871211819
0,IDONTWANT,379,874,325.8720871211819
0,IDONTWANT,379,429,325.8720871211819
0,IDONTWANT,200,922,327.39885411226953
0,IDONTWANT,200,957,327.39885411226953
0,IDONTWANT,200,262,327.39885411226953
0,IDONTWANT,200,173,327.39885411226953
0,IDONTWANT,919,410,327.55811606080846
0,IDONTWANT,919,876,327.55811606080846
0,IDONTWANT,919,79,327.55811606080846
0,IDONTWANT,919,475,327.55811606080846
0,IDONTWANT,970,78,327.81906238742
0,IDONTWANT,970,852,327.81906238742
0,IDONTWANT,970,928,327.81906238742
0,IDONTWANT,970,111,327.81906238742
0,IDONTWANT,750,305,328.5817088507498
0,IDONTWANT,750,836,328.5817088507498
0,IDONTWANT,750,858,328.5817088507498
0,IDONTWANT,750,245,328.5817088507498
0,IDONTWANT,443,984,329.0025601322409
0,IDONTWANT,443,847,329.0025601322409
0,IDONTWANT,443,659,329.0025601322409
0,IDONTWANT,443,459,329.0025601322409
0,IDONTWANT,367,7,329.5405663275263
0,IDONTWANT,367,476,329.5405663275263
0,IDONTWANT,367,306,329.5405663275263
0,IDONTWANT,367,746,329.5405663275263
0,IDONTWANT,352,518,329.93448105968946
0,IDONTWANT,352,800,329.93448105968946
0,IDONTWANT,352,929,329.93448105968946
0,IDONTWANT,352,619,329.93448105968946
0,IDONTWANT,689,303,330.1359758819272
0,IDONTWANT,689,312,330.1359758819272
0,IDONTWANT,689,837,330.1359758819272
0,IDONTWANT,689,483,330.1359758819272
0,IDONTWANT,294,414,330.48953650733023
0,IDONTWANT,294,516,330.48953650733023
0,IDONTWANT,294,172,330.48953650733023
0,IDONTWANT,294,652,330.48953650733023
0,IDONTWANT,38,736,330.8213696477544
0,IDONTWANT,38,601,330.8213696477544
0,IDONTWANT,38,339,330.8213696477544
0,IDONTWANT,38,565,330.8213696477544
0,IDONTWANT,404,134,331.1453609361869
0,IDONTWANT,404,645,331.1453609361869
0,IDONTWANT,404,544,331.1453609361869
0,IDONTWANT,404,152,331.1453609361869
0,IDONTWANT,550,27,331.77057128737147
0,IDONTWANT,550,925,331.77057128737147
0,IDONTWANT,550,958,331.77057128737147
0,IDONTWANT,550,521,331.77057128737147
0,IDONTWANT,935,424,331.8303019161011
0,IDONTWANT,935,799,331.8303019161011
0,IDONTWANT,935,227,331.8303019161011
0,IDONTWANT,935,111,331.8303019161011
0,IDONTWANT,665,242,331.8670417824443
0,IDONTWANT,665,820,331.8670417824443
0,IDONTWANT,665,5,331.8670417824443
